MontoPagado;Interes;Plazo;Tipo;Mensualidad;MontoAsegurado;TipoPago;ModoPago;Fiador;Fiador2;OtroSeguro;Record;Edad;EstadoCivil;Salario;Fraude
12654078.5;17.25;474.6666667;Nacional;43815.1;1940833.333;A;Tarjeta;No;No;No;R0;33;Soltero;12633.285;No
10102730.94;17.25;474.6666667;Nacional;35991.23846;1551136.364;A;Tarjeta;Si;Si;No;R0;47.5;Divorciado;11624.218;No
1147781.86;17.75;470.6666667;Nacional;8611.480769;189318.1818;A;Tarjeta;No;No;Si;R2;33;Soltero;0;No
4956395.28;17.25;474.6666667;Nacional;20209.68077;765075.7576;A;Tarjeta;No;No;Si;R2;39.5;Soltero;5485.997;No
7899585.68;12.25;474.6666667;Nacional;27000.76923;1219621.212;A;Tarjeta;Si;No;No;R0;35.5;Soltero;10652.044;No
4755604.98;17.25;474.6666667;Nacional;35047.75769;734772.7273;B;Tarjeta;No;No;No;R0;34;Soltero;5850.661;No
7743203.86;17.25;471.3333333;Nacional;16120.24231;1219621.212;C;Tarjeta;No;No;No;R0;41.5;Soltero;0;No
8020826.44;17.75;471.6666667;Nacional;29883.78462;1280227.273;A;Tarjeta;No;No;No;R0;42;Soltero;0;No
1423679.98;17.25;474.6666667;Nacional;9376.392308;225984.8485;A;Tarjeta;No;No;No;R0;31;Soltero;3690.327;No
11640712.5;17.75;471;Nacional;21838.08077;1825681.818;C;Tarjeta;Si;Si;No;R0;38.5;Soltero;0;No
2368106.06;17.25;474.6666667;Nacional;8384.1;371136.3636;C;Tarjeta;No;No;No;R0;32;Soltero;3613.223;No
4944938.94;17.25;474.6666667;Nacional;35433.46154;765075.7576;B;Tarjeta;Si;No;No;R0;36;Soltero;8829.909;No
1085206.26;17.25;474.6666667;Nacional;8338.442308;174166.6667;A;Tarjeta;No;No;Si;R1;32.5;Soltero;3886.089;No
4941191.84;17.25;474.6666667;Nacional;12055.76923;765075.7576;C;Tarjeta;Si;No;No;R0;31.5;Soltero;5065.48;No
3304608.84;17.75;471.3333333;Nacional;15333.38846;522651.5152;A;Tarjeta;No;No;No;R0;32;Soltero;0;No
2869366.66;17.75;471.6666667;Nacional;13973.44231;462045.4545;A;Tarjeta;No;No;No;R0;39.5;Soltero;4793.483;No
1057726.44;17.75;471.3333333;Nacional;6543.961538;174166.6667;C;Tarjeta;No;No;No;R0;42;Soltero;0;No
7907957.14;17.25;474.6666667;Nacional;54925.97692;1219621.212;B;Tarjeta;Si;No;No;R0;34;Soltero;10691.228;No
5930120.8;17.75;474.6666667;Nacional;24585.28462;916590.9091;A;Tarjeta;No;No;No;R0;38.5;Union;4921.226;No
5972146.94;17.75;472.6666667;Nacional;13694.13846;946893.9394;C;Tarjeta;No;No;Si;R5;39.5;Soltero;0;No
5792868.8;17.25;471.6666667;Nacional;22911.21154;916590.9091;A;Tarjeta;Si;No;Si;R2;34;Soltero;12144.196;No
2335132.8;17.25;471;Nacional;12201.50769;371136.3636;A;Tarjeta;No;No;No;R0;35;Soltero;0;No
1897374.44;17.25;471.6666667;Nacional;7746.003846;305681.8182;C;Tarjeta;No;No;No;R0;42;Soltero;0;No
1938068.62;17.25;472.6666667;Nacional;11007.10385;310530.303;A;Tarjeta;Si;No;No;R0;42.5;Soltero;0;No
